[19-Apr-2017 10:38:01 Asia/Shanghai] PHP Notice:  Undefined index: shop in D:\phpStudy\WWW\000\imbuilder\trunk\install\IndexCtl.php on line 293
[19-Apr-2017 10:38:01 Asia/Shanghai] PHP Warning:  current() expects parameter 1 to be array, null given in D:\phpStudy\WWW\000\imbuilder\trunk\install\IndexCtl.php on line 293
[19-Apr-2017 10:38:23 Asia/Shanghai] PHP Warning:  current() expects parameter 1 to be array, null given in D:\phpStudy\WWW\000\imbuilder\trunk\install\IndexCtl.php on line 293
[19-Apr-2017 10:38:26 Asia/Shanghai] PHP Warning:  current() expects parameter 1 to be array, null given in D:\phpStudy\WWW\000\imbuilder\trunk\install\IndexCtl.php on line 293
[19-Apr-2017 10:38:27 Asia/Shanghai] PHP Warning:  current() expects parameter 1 to be array, null given in D:\phpStudy\WWW\000\imbuilder\trunk\install\IndexCtl.php on line 293
[19-Apr-2017 10:40:11 Asia/Shanghai] PHP Warning:  current() expects parameter 1 to be array, null given in D:\phpStudy\WWW\000\imbuilder\trunk\install\IndexCtl.php on line 293
[19-Apr-2017 10:40:47 Asia/Shanghai] PHP Warning:  current() expects parameter 1 to be array, null given in D:\phpStudy\WWW\000\imbuilder\trunk\install\IndexCtl.php on line 293
[19-Apr-2017 10:40:48 Asia/Shanghai] PHP Warning:  current() expects parameter 1 to be array, null given in D:\phpStudy\WWW\000\imbuilder\trunk\install\IndexCtl.php on line 293
[19-Apr-2017 10:41:26 Asia/Shanghai] PHP Warning:  current() expects parameter 1 to be array, null given in D:\phpStudy\WWW\000\imbuilder\trunk\install\IndexCtl.php on line 294
[19-Apr-2017 10:41:26 Asia/Shanghai] PHP Warning:  current() expects parameter 1 to be array, null given in D:\phpStudy\WWW\000\imbuilder\trunk\install\IndexCtl.php on line 294
[19-Apr-2017 10:52:28 Asia/Shanghai] PHP Warning:  include_once(db_10001.ini.php): failed to open stream: No such file or directory in D:\phpStudy\WWW\2017\imbuilder\im\configs\config.ini.php on line 317
[19-Apr-2017 10:52:28 Asia/Shanghai] PHP Warning:  include_once(): Failed opening 'db_10001.ini.php' for inclusion (include_path='D:/phpStudy/WWW/2017/imbuilder/libraries;D:/phpStudy/WWW/2017/imbuilder/install/models') in D:\phpStudy\WWW\2017\imbuilder\im\configs\config.ini.php on line 317
[19-Apr-2017 10:52:45 Asia/Shanghai] PHP Warning:  Cannot use a scalar value as an array in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Db\Pdo.php on line 108
[19-Apr-2017 10:55:37 Asia/Shanghai] PHP Warning:  file_put_contents(D:/phpStudy/WWW/2017/imbuilder/im-builder_admin/configs/db.ini.php): failed to open stream: No such file or directory in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Utils\File.php on line 75
[19-Apr-2017 10:55:37 Asia/Shanghai] PHP Warning:  Cannot use a scalar value as an array in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Db\Pdo.php on line 108
[19-Apr-2017 10:56:02 Asia/Shanghai] PHP Warning:  file_put_contents(D:/phpStudy/WWW/2017/imbuilder/im-builder_admin/configs/db.ini.php): failed to open stream: No such file or directory in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Utils\File.php on line 75
[19-Apr-2017 10:56:02 Asia/Shanghai] PHP Warning:  Cannot use a scalar value as an array in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Db\Pdo.php on line 108
[19-Apr-2017 10:56:12 Asia/Shanghai] PHP Warning:  file_put_contents(D:/phpStudy/WWW/2017/imbuilder/im-builder_admin/configs/db.ini.php): failed to open stream: No such file or directory in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Utils\File.php on line 75
[19-Apr-2017 10:56:12 Asia/Shanghai] PHP Warning:  Cannot use a scalar value as an array in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Db\Pdo.php on line 108
[19-Apr-2017 10:56:40 Asia/Shanghai] PHP Warning:  file_put_contents(D:/phpStudy/WWW/2017/imbuilder/im-builder_admin/configs/db.ini.php): failed to open stream: No such file or directory in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Utils\File.php on line 75
[19-Apr-2017 10:56:40 Asia/Shanghai] PHP Warning:  Cannot use a scalar value as an array in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Db\Pdo.php on line 108
[19-Apr-2017 10:56:49 Asia/Shanghai] PHP Warning:  file_put_contents(D:/phpStudy/WWW/2017/imbuilder/im-builder_admin/configs/db.ini.php): failed to open stream: No such file or directory in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Utils\File.php on line 75
[19-Apr-2017 10:56:49 Asia/Shanghai] PHP Warning:  Cannot use a scalar value as an array in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Db\Pdo.php on line 108
